1,1
17,1
33,1
49,1
65,1
81,1
97,1
113,1
129,1
145,1
161,1
177,1
193,1
209,1
225,1
241,1
257,1
273,1
289,1
305,1
321,1
337,1
353,1
369,1
385,1
401,1
417,1
433,1
449,1
465,1
481,1
497,1
513,1
529,1
545,1
561,1
577,1
593,1
609,1
625,1
641,1
657,1
673,1
689,1
705,1
721,1
737,1
753,1
769,1
785,1
5,2
21,2
37,2
53,2
69,2
85,2
101,2
117,2
133,2
149,2
165,2
181,2
197,2
213,2
229,2
245,2
261,2
277,2
293,2
309,2
325,2
341,2
357,2
373,2
389,2
405,2
421,2
437,2
453,2
469,2
485,2
501,2
517,2
533,2
549,2
565,2
581,2
597,2
613,2
629,2
645,2
661,2
677,2
693,2
709,2
725,2
741,2
757,2
773,2
789,2
9,3
25,3
41,3
57,3
73,3
89,3
105,3
121,3
137,3
153,3
169,3
185,3
201,3
217,3
233,3
249,3
265,3
281,3
297,3
313,3
329,3
345,3
361,3
377,3
393,3
409,3
425,3
441,3
457,3
473,3
489,3
505,3
521,3
537,3
553,3
569,3
585,3
601,3
617,3
633,3
649,3
665,3
681,3
697,3
713,3
729,3
745,3
761,3
777,3
793,3
13,4
29,4
45,4
61,4
77,4
93,4
109,4
125,4
141,4
157,4
173,4
189,4
205,4
221,4
237,4
253,4
269,4
285,4
301,4
317,4
333,4
349,4
365,4
381,4
397,4
413,4
429,4
445,4
461,4
477,4
493,4
509,4
525,4
541,4
557,4
573,4
589,4
605,4
621,4
637,4
653,4
669,4
685,4
701,4
717,4
733,4
749,4
765,4
781,4
797,4
2,1
6,1
10,1
14,1
18,2
22,2
26,2
30,2
34,3
38,3
42,3
46,3
50,4
54,4
58,4
62,4
66,5
70,5
74,5
78,5
82,6
86,6
90,6
94,6
98,7
102,7
106,7
110,7
114,8
118,8
122,8
126,8
130,9
134,9
138,9
142,9
146,10
150,10
154,10
158,10
162,11
166,11
170,11
174,11
178,12
182,12
186,12
190,12
194,13
198,13
202,13
206,13
210,14
214,14
218,14
222,14
226,15
230,15
234,15
238,15
242,16
246,16
250,16
254,16
258,17
262,17
266,17
270,17
274,18
278,18
282,18
286,18
290,19
294,19
298,19
302,19
306,20
310,20
314,20
318,20
322,21
326,21
330,21
334,21
338,22
342,22
346,22
350,22
354,23
358,23
362,23
366,23
370,24
374,24
378,24
382,24
386,25
390,25
394,25
398,25
402,26
406,26
410,26
414,26
418,27
422,27
426,27
430,27
434,28
438,28
442,28
446,28
450,29
454,29
458,29
462,29
466,30
470,30
474,30
478,30
482,31
486,31
490,31
494,31
498,32
502,32
506,32
510,32
514,33
518,33
522,33
526,33
530,34
534,34
538,34
542,34
546,35
550,35
554,35
558,35
562,36
566,36
570,36
574,36
578,37
582,37
586,37
590,37
594,38
598,38
602,38
606,38
610,39
614,39
618,39
622,39
626,40
630,40
634,40
638,40
642,41
646,41
650,41
654,41
658,42
662,42
666,42
670,42
674,43
678,43
682,43
686,43
690,44
694,44
698,44
702,44
706,45
710,45
714,45
718,45
722,46
726,46
730,46
734,46
738,47
742,47
746,47
750,47
754,48
758,48
762,48
766,48
770,49
774,49
778,49
782,49
786,50
790,50
794,50
798,50
